kd_diff,sig_strike_diff,total_strikes_diff,td_diff,ctrl_time_diff,height_diff,reach_diff,age_diff,winrate_diff,winner
0,17,49,4.2,-68.4,-5,-2,1,0.057692308,1
-0.2,1.2,10.8,0.4,95.2,2,4,-2,0.183046683,1
0,13.2,10.4,0,-51,-4,-2,11,-0.022608696,0
-0.6,2.8,22.2,1.6,170.2,0,3,6,-0.033333333,0
1,-16.5,-35.5,-1,-59.5,3,2,-6,0.185714286,1
-0.75,58.5,87.25,2.75,277.75,0,-4,-1,-0.025,1
0,82,63,-1,-60,1,-2,3,0.019565217,0
0.6,10.2,-9.8,-3,-211.8,1,-3,-7,0.011904762,1
0.4,11.8,32.33333333,0.333333333,80.4,-2,-2,-3,0.1,1
-0.2,-30.6,-39.8,2.4,104.4,5,4,-2,0.0075,0
0.2,34.8,25.35,-3.5,-291.5,1,-4,6,-0.24137931,0
0.2,-25.6,-83.6,-1,-350.6,-1,-2,-2,-0.090277778,1
0,26.5,33.5,1,42.6,0,-3,-7,0.051282051,1
0,11.4,2.2,0,-29.2,0,0,-1,0.183333333,1
0.2,-2.7,-13,1.5,-26.6,0,2,-5,0.077777778,1
0.1,-7.7,7.5,1,134.2,-1,-2,1,0.063492063,1
0,22.6,8,-0.2,-28.2,-4,-7,-7,0.05942029,0
-0.5,1,-4.5,-1.75,-135.25,3,1,-5,0.159090909,1
0.5,34.33333333,41.5,0.5,33.16666667,1,4,-1,0.2,1
0,12.6,16.4,-0.8,-214.2,3,5,-4,0.128289474,1
0,-67.73333333,-65.4,1.2,50,1,0,3,-0.044534413,1
0,25,27,0,-10,-1,-5,-1,0.088888889,1
0,-33,-53.6,0.4,-96.4,3,-1,0,0.3125,1
0,0,0,0,0,5,1,3,0.119047619,1
0,23,56,1.2,-12.2,-3,-6,-1,-0.214285714,0
-0.2,20,31.2,0.2,82,4,3,2,-0.047987616,1
-0.8,21.8,28.8,0.2,8.2,3,4,11,-0.218894009,0
-0.4,6.4,9.6,1.4,-6.6,-2,2,-6,0.094043887,1
-0.4,43.8,38.6,-0.6,-64.6,-3,-4,0,0.010752688,1
0.2,0.2,-2.2,0.2,79.8,0,-2,-7,-0.038461538,1
0,10,14.66666667,-1.333333333,-139.3333333,2,4,-13,0.25,1
0,2.9,-4.6,-0.7,-83.4,-1,0,3,-0.037151703,0
-0.4,-20.2,-36.2,2,243.2,2,3,-7,0.022222222,0
-0.2,18.8,40.4,2.6,225.2,1,1,-3,0.173076923,1
0.2,0.2,-8.8,-0.4,-56,-1,-2,-3,-0.033333333,1
0.2,8.8,-7.2,0.6,-167.8,2,-2,1,0.119047619,0
0.5,5.5,3,-0.75,-18.25,-4,0,2,-0.04887218,0
0,7,11,2,247.5,0,-3,16,0.017857143,1
0,0,0,0,0,-2,0,4,-0.048484848,0
-0.2,6,7.6,0.2,13.8,2,0,-3,-0.085213033,1
-0.8,15.2,28.46666667,2.2,186.1333333,0,-2,1,-0.015037594,1
0.2,6.2,4.2,0,45,0,0,-7,0.13037037,1
0,-0.133333333,-22.06666667,-2.8,-202.6,0,-1,0,-0.125506073,0
-0.6,-14.8,-5.4,1,-37.6,0,-4,-2,0.333333333,1
0,11,10,-0.4,114,4,1,1,-0.012820513,1
-0.2,18.13333333,19.2,1.066666667,189,1,2,1,0.269230769,1
0,-14.6,1.6,-0.4,81.2,0,0,5,-0.058149058,0
