fighterid,link
144,http://ufcstats.com/fighter-details/07a74004d964c7f4
145,http://ufcstats.com/fighter-details/7e9b36a9847db116
146,http://ufcstats.com/fighter-details/0e46690e55a8df75
147,http://ufcstats.com/fighter-details/117a06469813e4ef
148,http://ufcstats.com/fighter-details/ad5cb64af10fc946
149,http://ufcstats.com/fighter-details/4e6738062d469256
150,http://ufcstats.com/fighter-details/b9706f80d005036c
151,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9
152,http://ufcstats.com/fighter-details/87f8699fdcc2c404
153,http://ufcstats.com/fighter-details/1235b31de15d0c6e
154,http://ufcstats.com/fighter-details/8e382b585a92affe
155,http://ufcstats.com/fighter-details/4a07b1988477502c
156,http://ufcstats.com/fighter-details/d35298b6df168456
157,http://ufcstats.com/fighter-details/c0d5c0c95c59050b
158,http://ufcstats.com/fighter-details/399afbabc02376b5
159,http://ufcstats.com/fighter-details/787bb1f087ccff8a
160,http://ufcstats.com/fighter-details/7dda2cf308f24a02
161,http://ufcstats.com/fighter-details/7447e9f28508106a
162,http://ufcstats.com/fighter-details/2b6fc1c02736833d
163,http://ufcstats.com/fighter-details/bc711b6dd95c1af6
164,http://ufcstats.com/fighter-details/279566840aa55bf2
165,http://ufcstats.com/fighter-details/41e83a89929d1327
166,http://ufcstats.com/fighter-details/333b9e5c723ac873
167,http://ufcstats.com/fighter-details/e90a2f22417af68e
168,http://ufcstats.com/fighter-details/b7b84ccd221be298
169,http://ufcstats.com/fighter-details/17734443a833cdf7
170,http://ufcstats.com/fighter-details/b07aed698fba8624
171,http://ufcstats.com/fighter-details/285ae0b4a68221f4
172,http://ufcstats.com/fighter-details/5b86d491d63890c5
173,http://ufcstats.com/fighter-details/849c5d9979df5357
174,http://ufcstats.com/fighter-details/f5779a2303ed76ec
175,http://ufcstats.com/fighter-details/cdb7b38b1b357f26
176,http://ufcstats.com/fighter-details/329e403448756217
177,http://ufcstats.com/fighter-details/7d6ceff6747f2de2
178,http://ufcstats.com/fighter-details/3329d692aea4dc28
179,http://ufcstats.com/fighter-details/7a5e8c94a86f9895
180,http://ufcstats.com/fighter-details/7f1bf0c255ec8756
181,http://ufcstats.com/fighter-details/0be6776db31d98ec
182,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
183,http://ufcstats.com/fighter-details/43a59ce3bb40449e
184,http://ufcstats.com/fighter-details/d549cefc7c54ab78
185,http://ufcstats.com/fighter-details/2f181c0467965b98
186,http://ufcstats.com/fighter-details/3a46b268013afede
187,http://ufcstats.com/fighter-details/dd6103dd7127db1d
188,http://ufcstats.com/fighter-details/7c7332319c14094c
189,http://ufcstats.com/fighter-details/24656ef4d605c96f
190,http://ufcstats.com/fighter-details/34ff304266360297
191,http://ufcstats.com/fighter-details/a9e260472d321361
192,http://ufcstats.com/fighter-details/f1d64ae34e088832
193,http://ufcstats.com/fighter-details/113df4fde64735c6
194,http://ufcstats.com/fighter-details/31f8081c7600da93
195,http://ufcstats.com/fighter-details/dccb63727f2f5f74
196,http://ufcstats.com/fighter-details/873626e5547b5235
197,http://ufcstats.com/fighter-details/519e4fe37ce9ff75
198,http://ufcstats.com/fighter-details/700a674c042b7a96
199,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
200,http://ufcstats.com/fighter-details/294aa73dbf37d281
201,http://ufcstats.com/fighter-details/b671bdf981ad527d
202,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63
203,http://ufcstats.com/fighter-details/312f7d7b2b2f7de4
204,http://ufcstats.com/fighter-details/1b35af4d1529adf6
205,http://ufcstats.com/fighter-details/4948e412fa6ab67d
206,http://ufcstats.com/fighter-details/3bc3f60b21cddc6a
207,http://ufcstats.com/fighter-details/7674b836ce0698a0
208,http://ufcstats.com/fighter-details/2c5f5749569eef66
209,http://ufcstats.com/fighter-details/07225ba28ae309b6
210,http://ufcstats.com/fighter-details/72db2a14ffa73ece
211,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
212,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d
213,http://ufcstats.com/fighter-details/6d4b63c767106d3a
214,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
215,http://ufcstats.com/fighter-details/25f9a5f3e8a52618
216,http://ufcstats.com/fighter-details/39d309957c5c210d
217,http://ufcstats.com/fighter-details/1ae8f3c723aacff4
218,http://ufcstats.com/fighter-details/7facc9c45d792985
219,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
220,http://ufcstats.com/fighter-details/01c9e4013afce141
221,http://ufcstats.com/fighter-details/65adf3856c4d9256
222,http://ufcstats.com/fighter-details/b62d5280966b2460
223,http://ufcstats.com/fighter-details/71171fc96445bf65
224,http://ufcstats.com/fighter-details/764d39074a352e33
225,http://ufcstats.com/fighter-details/eff9074bc066f0f2
226,http://ufcstats.com/fighter-details/103e2e33a60683e1
227,http://ufcstats.com/fighter-details/e0d3d9b564f95635
228,http://ufcstats.com/fighter-details/2bd98ab77a8daa75
229,http://ufcstats.com/fighter-details/abb68e3c7ca128f2
230,http://ufcstats.com/fighter-details/d7c3816669784109
231,http://ufcstats.com/fighter-details/6fc506e1099afe20
232,http://ufcstats.com/fighter-details/72ea1984c52019b5
233,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
234,http://ufcstats.com/fighter-details/e5549c82bfb5582d
235,http://ufcstats.com/fighter-details/65f09bacd3957381
236,http://ufcstats.com/fighter-details/009341ed974bad72
237,http://ufcstats.com/fighter-details/749f572d1d3161fb
238,http://ufcstats.com/fighter-details/fba03cd6cc28dc41
239,http://ufcstats.com/fighter-details/52c2ae6d2f2d2613
240,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
241,http://ufcstats.com/fighter-details/c1085e1701b13eca
242,http://ufcstats.com/fighter-details/2f815ed5f8278ba6
243,http://ufcstats.com/fighter-details/563a1d42bb0e3cef
244,http://ufcstats.com/fighter-details/b67d6bacc68d4c92
245,http://ufcstats.com/fighter-details/a44020ea2e8cd026
246,http://ufcstats.com/fighter-details/2cfba6c837c03ed0
247,http://ufcstats.com/fighter-details/6902fcf0610dd303
248,http://ufcstats.com/fighter-details/4144798612ef96e5
249,http://ufcstats.com/fighter-details/886264a0c9f4ea5e
250,http://ufcstats.com/fighter-details/64facb6cc564262d
251,http://ufcstats.com/fighter-details/0f1efce7d2571d10
252,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b
253,http://ufcstats.com/fighter-details/3143bf892608139a
